iter	Passed	Remaining
0	1	162
1	3	150
2	4	145
3	5	131
4	6	129
5	7	124
6	8	119
7	10	116
8	11	112
9	12	108
10	12	104
11	13	101
12	14	97
13	15	94
14	16	91
15	16	88
16	17	85
17	18	83
18	19	81
19	19	78
20	20	76
21	20	74
22	21	71
23	21	69
24	22	67
25	23	65
26	23	63
27	24	62
28	24	60
29	25	58
30	25	57
31	26	55
32	26	54
33	27	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	32	41
44	33	40
45	33	39
46	34	38
47	34	37
48	35	36
49	35	35
50	36	34
51	36	33
52	37	33
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	15
77	50	14
78	51	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	56	6
90	57	5
91	57	5
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
